EHI_plaintext	sample_code	species	region	sample_type	order	sex	country	latitude	longitude	singlem_fraction	reads_post_fastp	host_reads	reads_lost_fastp_percent	metagenomic_bases	host_bases	bases_lost_fastp_percent	diversity	C
EHI02582	AJP50E1L1I1	Calotriton asper	Gipuzkoa	Faecal	Urodela	Male	recIUTmSxiyqoU5lQ	43.138437	-1.914365	0.7169	25621482	277	0.021485066021877164	3771020851	41661	0.039857521393687256	18.0391540152208	0.930744648841069
EHI02065	AJP52E1L1I1	Calotriton asper	Nafarroa	Faecal	Urodela	Male	recIUTmSxiyqoU5lQ	43.157629	-1.907171	0.6679	30501922	1687	0.03920332609998778	4473531340	248787	0.06051973472762917	18.7842646827417	0.853470374328047
EHI02639	AJP63E1L1I1	Calotriton asper	Nafarroa	Faecal	Urodela	Male	recIUTmSxiyqoU5lQ	43.157629	-1.907171	0.675	69348342	6237	0.025250536279636804	10202024014	1126284	0.04390742019145766	18.849826021997	0.908281981112933
EHI02619	AJP59E1L1I1	Calotriton asper	Nafarroa	Faecal	Urodela	Male	recIUTmSxiyqoU5lQ	43.157629	-1.907171	0.7068000000000001	32674142	516	0.031124393135833484	4829207979	86283	0.04532348366466932	18.9663103754686	0.875896364706947
EHI01968	AJP58E1L1I1	Calotriton asper	Nafarroa	Faecal	Urodela	Male	recIUTmSxiyqoU5lQ	43.157629	-1.907171	0.6955	47074216	894	0.024973319138890115	6895055875	167184	0.047882680543738454	18.8708190659545	0.906197089656745
EHI01967	AJP47E1L1I1	Calotriton asper	Nafarroa	Faecal	Urodela	Male	recIUTmSxiyqoU5lQ	43.157629	-1.907171	0.7034	37181194	4919	0.025229082161268845	5451556572	709418	0.0470612063770377	18.6063666662904	0.879172309559394
EHI02615	AJP39E1L1I1	Calotriton asper	Nafarroa	Faecal	Urodela	Female	recIUTmSxiyqoU5lQ	43.032943	-1.180331	0.5931000000000001	15691650	2450	0.04838545154365481	2283674487	351599	0.07657365435697616	19.3060427502076	0.738749359667527
EHI02584	AJP53E1L1I1	Calotriton asper	Nafarroa	Faecal	Urodela	Male	recIUTmSxiyqoU5lQ	43.032943	-1.180331	0.7418	35758798	1328	0.023777282260754484	5281080602	243149	0.038791660826696606	18.4313467541553	0.887172277219918
EHI02607	AJP40E1L1I1	Calotriton asper	Nafarroa	Faecal	Urodela	Male	recIUTmSxiyqoU5lQ	43.032943	-1.180331	0.6143	37447222	1558	0.018578572007396543	5506126638	239951	0.03792308708914094	18.8962998867698	0.8788577206346
EHI02630	AJP60E1L1I1	Calotriton asper	Nafarroa	Faecal	Urodela	Male	recIUTmSxiyqoU5lQ	43.157629	-1.907171	0.653	28285742	1737	0.0286938660046826	4168505140	258866	0.04565674814618803	18.9395975153569	0.854175496765483
EHI02624	AJP61E1L1I1	Calotriton asper	Nafarroa	Faecal	Urodela	Male	recIUTmSxiyqoU5lQ	43.032943	-1.180331	0.6456999999999999	30573420	2235	0.02337279909719525	4487685190	351284	0.04423766370651072	19.1002218606302	0.842245963632675
EHI01992	AJP69E1L1I1	Calotriton asper	Nafarroa	Faecal	Urodela	Male	recIUTmSxiyqoU5lQ	42.999753	-1.166745	0.6009	28972822	3724	0.024828011831786956	4244705388	650860	0.04739402721522834	19.3640868100814	0.790909204247166
EHI02602	AJP41E1L1I1	Calotriton asper	Nafarroa	Faecal	Urodela	Male	recIUTmSxiyqoU5lQ	43.032943	-1.180331	0.5534	27656528	1007	0.020053998047373733	4053342960	148220	0.0424918905725179	19.2374891801078	0.822231737940036
EHI02598	AJP42E1L1I1	Calotriton asper	Nafarroa	Faecal	Urodela	Male	recIUTmSxiyqoU5lQ	42.999753	-1.166745	0.6758	34807096	528	0.020085282496863255	5135731572	85434	0.036084927322042715	19.2017108913487	0.859480720130568
EHI02696	AKD82E1L1I1	Calotriton asper	Nafarroa	Skin swab: dorsal	Urodela	Male	recIUTmSxiyqoU5lQ	42.999753	-1.166745	0.3874	74042446	195340	0.029156646379368212	10807995953	38103934	0.05190742546066662	19.7937951785389	0.820769812701399
EHI02694	AKD80E1L1I1	Calotriton asper	Gipuzkoa	Skin swab: dorsal	Urodela	Male	recIUTmSxiyqoU5lQ	43.138437	-1.914365	0.0016	23580262	266389	0.039545207306446284	3399210437	53282611	0.06250306727076071	20.0731161090113	0.540157803319496
EHI02698	AKD81E1L1I1	Calotriton asper	Gipuzkoa	Skin swab: ventral	Urodela	Male	recIUTmSxiyqoU5lQ	43.138437	-1.914365	0.07519999999999999	78882360	820093	0.040201154581078424	11362925785	161536852	0.06517621657819739	19.9913140896149	0.717832853985797
EHI02097	AJP52E2L1I1	Calotriton asper	Nafarroa	Faecal	Urodela	Male	recIUTmSxiyqoU5lQ	43.157629	-1.907171	0.6507	36524426	9567	0.14846269280075153	5324134598	1111047	0.17230817230496198	18.7592868390208	0.889298293601802
