##source=lorikeet-v0.8.2
##sample=<ID=1, name=filtered/EHA04492_bin.179/PRB0174_EHI02067_DMB0156.bam>
##sample=<ID=2, name=filtered/EHA04492_bin.179/PRB0174_EHI02065_DMB0156.bam>
##sample=<ID=3, name=filtered/EHA04492_bin.179/PRB0237_EHI02617_DMB0156.bam>
##sample=<ID=4, name=filtered/EHA04492_bin.179/PRB0164_EHI01968_DMB0156.bam>
##sample=<ID=5, name=filtered/EHA04492_bin.179/PRB0237_EHI02630_DMB0156.bam>
##sample=<ID=6, name=filtered/EHA04492_bin.179/PRB0237_EHI02639_DMB0156.bam>
##sample=<ID=7, name=filtered/EHA04492_bin.179/PRB0237_EHI02607_DMB0156.bam>
##sample=<ID=8, name=filtered/EHA04492_bin.179/PRB0237_EHI02582_DMB0156.bam>
##sample=<ID=9, name=filtered/EHA04492_bin.179/PRB0237_EHI02612_DMB0156.bam>
##sample=<ID=10, name=filtered/EHA04492_bin.179/PRB0237_EHI02619_DMB0156.bam>
##sample=<ID=11, name=filtered/EHA04492_bin.179/PRB0164_EHI01985_DMB0156.bam>
##sample=<ID=12, name=filtered/EHA04492_bin.179/PRB0164_EHI01966_DMB0156.bam>
##sample=<ID=13, name=filtered/EHA04492_bin.179/PRB0237_EHI02615_DMB0156.bam>
##sample=<ID=14, name=filtered/EHA04492_bin.179/PRB0237_EHI02695_DMB0156.bam>
##sample=<ID=15, name=filtered/EHA04492_bin.179/PRB0237_EHI02592_DMB0156.bam>
##sample=<ID=16, name=filtered/EHA04492_bin.179/PRB0237_EHI02585_DMB0156.bam>
##sample=<ID=17, name=filtered/EHA04492_bin.179/PRB0237_EHI02602_DMB0156.bam>
##sample=<ID=18, name=filtered/EHA04492_bin.179/PRB0237_EHI02632_DMB0156.bam>
##sample=<ID=19, name=filtered/EHA04492_bin.179/PRB0237_EHI02698_DMB0156.bam>
##sample=<ID=20, name=filtered/EHA04492_bin.179/PRB0237_EHI02697_DMB0156.bam>
##sample=<ID=21, name=filtered/EHA04492_bin.179/PRB0237_EHI02624_DMB0156.bam>
##sample=<ID=22, name=filtered/EHA04492_bin.179/PRB0237_EHI02693_DMB0156.bam>
##sample=<ID=23, name=filtered/EHA04492_bin.179/PRB0174_EHI02088_DMB0156.bam>
##sample=<ID=24, name=filtered/EHA04492_bin.179/PRB0164_EHI01995_DMB0156.bam>
##sample=<ID=25, name=filtered/EHA04492_bin.179/PRB0174_EHI02097_DMB0156.bam>
##sample=<ID=26, name=filtered/EHA04492_bin.179/PRB0164_EHI01970_DMB0156.bam>
##sample=<ID=27, name=filtered/EHA04492_bin.179/PRB0237_EHI02633_DMB0156.bam>
##sample=<ID=28, name=filtered/EHA04492_bin.179/PRB0237_EHI02598_DMB0156.bam>
##sample=<ID=29, name=filtered/EHA04492_bin.179/PRB0164_EHI01989_DMB0156.bam>
##sample=<ID=30, name=filtered/EHA04492_bin.179/PRB0174_EHI02079_DMB0156.bam>
##sample=<ID=31, name=filtered/EHA04492_bin.179/PRB0237_EHI02696_DMB0156.bam>
##sample=<ID=32, name=filtered/EHA04492_bin.179/PRB0164_EHI01967_DMB0156.bam>
##sample=<ID=33, name=filtered/EHA04492_bin.179/PRB0164_EHI01992_DMB0156.bam>
##sample=<ID=34, name=filtered/EHA04492_bin.179/PRB0174_EHI02105_DMB0156.bam>
##sample=<ID=35, name=filtered/EHA04492_bin.179/PRB0164_EHI01979_DMB0156.bam>
##sample=<ID=36, name=filtered/EHA04492_bin.179/PRB0164_EHI01982_DMB0156.bam>
##sample=<ID=37, name=filtered/EHA04492_bin.179/PRB0237_EHI02625_DMB0156.bam>
##sample=<ID=38, name=filtered/EHA04492_bin.179/PRB0237_EHI02603_DMB0156.bam>
##sample=<ID=39, name=filtered/EHA04492_bin.179/PRB0237_EHI02584_DMB0156.bam>
##sample=<ID=40, name=filtered/EHA04492_bin.179/PRB0237_EHI02587_DMB0156.bam>
##sample=<ID=41, name=filtered/EHA04492_bin.179/PRB0237_EHI02694_DMB0156.bam>
SampleID  	1       	2       	3       	4       	5       	6       	7       	8       	9       	10      	11      	12      	13      	14      	15      	16      	17      	18      	19      	20      	21      	22      	23      	24      	25      	26      	27      	28      	29      	30      	31      	32      	33      	34      	35      	36      	37      	38      	39      	40      	41      
1	0.99513924	0.99846494	0.99806201	0.99816382	0.99817216	0.99916637	0.99976575	0.99853975	1.00000000	0.99783564	0.99939764	0.99971467	0.99921143	NaN	0.99720412	0.99891311	0.99954361	1.00000000	NaN	NaN	0.99951315	NaN	0.99969178	0.99948990	0.99757260	1.00000000	0.99849504	0.99937391	0.99758703	0.99736279	NaN	0.99796921	0.99986613	0.99984467	0.99814254	1.00000000	1.00000000	0.99726754	0.99987990	0.99941343	NaN
2	0.99846494	0.99782968	0.99938029	0.99865323	0.99836004	0.99866438	0.99835247	0.99835402	0.99836558	0.99826199	0.99817985	0.99931270	0.99819976	NaN	0.99777532	0.99881923	0.99811929	0.99968624	NaN	NaN	0.99882108	NaN	0.99863225	0.99572593	0.99966282	0.99863660	0.99865711	0.99736667	0.99852651	0.99977803	NaN	0.99937612	0.99687523	0.99767351	0.99961174	0.99991107	1.00000000	0.99940693	0.99927557	0.99758357	NaN
3	0.99806201	0.99938029	0.99826771	0.99901837	0.99938411	0.99950188	0.99756050	0.99961245	0.99884510	0.99916440	0.99888331	0.99981028	0.99830377	NaN	0.99879515	0.99896455	0.99890137	0.99850118	NaN	NaN	0.99889046	NaN	0.99712187	0.99817461	0.99938405	0.99872583	0.99923831	0.99813765	0.99916577	0.99944252	NaN	0.99949545	0.99779987	0.99511260	0.99956477	0.99963045	0.99944150	0.99980789	0.99908727	0.99757820	NaN
4	0.99816382	0.99865323	0.99901837	0.99442619	0.99763203	0.99856085	0.99788451	0.99923897	0.99917084	0.99613482	0.99820268	0.99917459	0.99845469	NaN	0.99939263	0.99849707	0.99845135	0.99738902	NaN	NaN	0.99779809	NaN	0.99693662	0.99943805	0.99886042	0.99886668	0.99879605	0.99817055	0.99859494	0.99910587	NaN	0.99861443	0.99767643	0.99936122	0.99822867	0.99938512	1.00000000	0.99828666	0.99796706	0.99816740	NaN
5	0.99817216	0.99836004	0.99938411	0.99763203	0.99852389	0.99843490	0.99703169	0.99948305	0.99709505	0.99928123	0.99780858	0.99981493	0.99808520	NaN	0.99767804	0.99765807	0.99719310	0.99811643	NaN	NaN	0.99785018	NaN	0.99624878	0.99628067	0.99885458	0.99710876	0.99802208	0.99841297	0.99654782	0.99852431	NaN	0.99863863	0.99700642	0.99534327	0.99817431	1.00000000	0.99977052	0.99893117	0.99854791	0.99689990	NaN
6	0.99916637	0.99866438	0.99950188	0.99856085	0.99843490	0.99786937	0.99917501	0.99897575	0.99951291	0.99869061	0.99892843	0.99962538	0.99925888	NaN	0.99918568	0.99891555	0.99876666	0.99970794	NaN	NaN	0.99842882	NaN	0.99880123	0.99903047	0.99881822	0.99926776	0.99949902	0.99854738	0.99873549	0.99912769	NaN	0.99865389	0.99933028	0.99829203	0.99885696	0.99887490	0.99877602	0.99892771	0.99967146	0.99864727	NaN
7	0.99976575	0.99835247	0.99756050	0.99788451	0.99703169	0.99917501	0.99568975	0.99878412	0.99989438	0.99722165	0.99955058	1.00000000	0.99970764	NaN	0.99597424	0.99894387	0.99969131	1.00000000	NaN	NaN	0.99989647	NaN	0.99979162	1.00000000	0.99706638	0.99984950	0.99815130	0.99936676	0.99739581	0.99737042	NaN	0.99803221	0.99963230	0.99987924	0.99800116	0.99968421	1.00000000	0.99733156	0.99979323	0.99939901	NaN
8	0.99853975	0.99835402	0.99961245	0.99923897	0.99948305	0.99897575	0.99878412	0.99704200	0.99929965	0.99886650	0.99913830	1.00000000	0.99862587	NaN	0.99918258	0.99830782	0.99795151	0.99862856	NaN	NaN	0.99863869	NaN	0.99787503	0.99765933	0.99910522	0.99936318	0.99831140	0.99897605	0.99895734	0.99886334	NaN	0.99777335	0.99908906	0.99674040	0.99931133	1.00000000	0.99973059	0.99965239	0.99911427	0.99876845	NaN
9	1.00000000	0.99836558	0.99884510	0.99917084	0.99709505	0.99951291	0.99989438	0.99929965	0.99335957	0.99829417	0.99972457	0.99889159	0.99975258	NaN	0.99824458	0.99926895	0.99919730	1.00000000	NaN	NaN	0.99928194	NaN	0.99886185	0.99903917	0.99731272	0.99939787	0.99756420	0.99936885	0.99691516	0.99816102	NaN	0.99792099	0.99938524	0.99933773	0.99815863	1.00000000	1.00000000	0.99727148	0.99844962	0.99904591	NaN
10	0.99783564	0.99826199	0.99916440	0.99613482	0.99928123	0.99869061	0.99722165	0.99886650	0.99829417	0.99867368	0.99785507	0.99976087	0.99869388	NaN	0.99849635	0.99687415	0.99754626	1.00000000	NaN	NaN	0.99771059	NaN	0.99646854	0.99503273	0.99848562	0.99743789	0.99693960	0.99704254	0.99536538	0.99862570	NaN	0.99900210	0.99709380	0.99691105	0.99767166	0.99935132	0.99950773	0.99891227	0.99913383	0.99585587	NaN
