sample	EHI01966	EHI01967	EHI01968	EHI01970	EHI01979	EHI01982	EHI01985	EHI01989	EHI01992	EHI01995	EHI02065	EHI02067	EHI02079	EHI02088	EHI02097	EHI02105	EHI02582	EHI02584	EHI02585	EHI02587	EHI02592	EHI02598	EHI02602	EHI02603	EHI02607	EHI02612	EHI02615	EHI02617	EHI02619	EHI02624	EHI02630	EHI02632	EHI02633	EHI02639	EHI02697	EHI02951	EHI02953	EHI02954	EHI02955	EHI02957	EHI02965	EHI02972	EHI02973	EHI02975	EHI02976	EHI02977	EHI02979	EHI02980	EHI02981	EHI02982	EHI02983	EHI02984	EHI02985	EHI02986	EHI02987	EHI02988
EHI01966	0.0	0.04750623532757825	0.04204350914398902	0.0404465561943389	0.05160671605846323	0.05895242376464516	0.04163635776556962	0.03933566142262479	0.0422725759767012	0.05456326916241261	0.04508847191483667	0.09947332662293507	0.06263330215157914	0.0873951196761894	0.06281762637567645	0.09554247563720586	0.06490624730947447	0.04468436455818392	0.04503388823845067	0.06335854094114235	0.04854558104932505	0.047263843926389715	0.043253807611335016	0.07616325187911377	0.044200534114259504	0.04494978858059473	0.057946837934197304	0.04346141059566244	0.047617428392272454	0.04709412225742793	0.04258954680600502	0.05601455845665382	0.06270314092679663	0.06332648038498745	0.1523646261626571	0.13995454086376624	0.15315971703503384	0.14288782165780933	0.1450667863337538	0.14557352778860888	0.13094646437198465	0.14161556858743896	0.1392959994669427	0.14595078385287563	0.1535346193755308	0.1394318944562115	0.15401147460515974	0.1472395642483426	0.1479525653425796	0.15165902858225366	0.14838381772936604	0.12367790177892479	0.13283997669599257	0.1485245738231259	0.10830970422113262	0.1519845138032453
EHI01967	0.04750623532757825	0.0	0.03590440749434998	0.03866605024823544	0.07608654061575038	0.03044583537152068	0.04876285921022061	0.04623754291201465	0.05377760616880323	0.027656712798392213	0.04580458145795718	0.0584616572447203	0.03553510634192214	0.05297084072375702	0.04669920412332129	0.058634707391233	0.08498787228112448	0.054276199706455475	0.03619056705264778	0.035514011151929537	0.033858919323246583	0.06135400675683056	0.04983836876604486	0.04310268112468252	0.037061821995888145	0.049086261446360635	0.08168659063087225	0.04742326822665688	0.05617831177850596	0.03371959773227029	0.04859347105926903	0.037232721266158064	0.03702645680899497	0.03477530380405358	0.11371145286117934	0.10135605689463079	0.11528006115259004	0.10417404848771816	0.10433919913878009	0.10454433998590185	0.08820553795894581	0.09860229263363218	0.09909340782393772	0.10483095839160417	0.11471984825421366	0.09879847786470908	0.11757912762802425	0.1065983239690178	0.10815842590860347	0.11212286303451457	0.10942978219834798	0.08410775912128421	0.0921765538960535	0.1081049088217021	0.06927144187072443	0.11190808138906538
EHI01968	0.04204350914398902	0.03590440749434998	0.0	0.03773169917868113	0.06352170951805991	0.04577241323889958	0.04112815692915561	0.040401428024034125	0.046611735712021596	0.04203728957979169	0.043502809345267845	0.08259026768698008	0.050373524805146785	0.07254583443059304	0.05358210890865789	0.0783307236659413	0.07415724731967399	0.046602624078519894	0.039038838348033233	0.050968909909754556	0.04004428164420348	0.05324171672875311	0.04521415807834217	0.06164852115802555	0.03869520173731311	0.044827134964163795	0.06899783877722387	0.043924480721937886	0.04877594835178578	0.03887800050679924	0.0437594712639654	0.04655103679691397	0.050694312750611314	0.05063063079959529	0.14271062840582704	0.12817776745227527	0.1418552769638035	0.13046347785261003	0.13210283447557902	0.1312917827584421	0.1132690973644761	0.1233604371072683	0.1253441734523274	0.12939756069573227	0.14201255782353328	0.12364559525927521	0.14577234154214036	0.13203630079340456	0.13322866328538807	0.1407438648444267	0.1345449497188791	0.10902092726539381	0.11691134400781444	0.13829052396267794	0.09105645392137318	0.13659190006125832
EHI01970	0.0404465561943389	0.03866605024823544	0.03773169917868113	0.0	0.05903351808726387	0.04931700491438984	0.03977437313760901	0.038967524410124965	0.043289899301643064	0.044204948493629215	0.041535789979778914	0.08602007694487956	0.05353476537535473	0.07585265795041052	0.055131417825492024	0.0834664234933884	0.07040810335045888	0.04447697961587893	0.03880378951006702	0.05308051636147859	0.04177114208170274	0.049832330087757226	0.043244497378603364	0.06635940235913118	0.038404115968738606	0.04242806058278947	0.06502233183027006	0.04254928416511916	0.047080837836750655	0.03987819396252967	0.043741578661222524	0.04783775723321504	0.05340103672858776	0.05375893293003553	0.14450749525058637	0.1335331479783054	0.14483808309392343	0.1328391900188176	0.13455948753050218	0.1352105543057176	0.11710757562673402	0.1284289556947208	0.12889379080149355	0.13481811050617742	0.14350672336985226	0.1258644848564	0.1479457057977459	0.13617799699250033	0.1364892578496827	0.1419128423056355	0.14027659195340092	0.11194350403906173	0.1208758173000486	0.1410713863416272	0.09575985326401393	0.14175304089947238
EHI01979	0.05160671605846323	0.07608654061575038	0.06352170951805991	0.05903351808726387	0.0	0.08924918431107576	0.05339485570891922	0.0489674717212768	0.049508765988526604	0.08503408420128222	0.06201469975690066	0.13303054772357303	0.09281791033075848	0.11896750758440244	0.08843579758284958	0.1271569603187549	0.05522297160973988	0.053087432024974346	0.06843438387722534	0.09282290441693797	0.07496468842366621	0.05286641428261185	0.05845892169745215	0.10977053137668624	0.0658742670677892	0.062419626041723575	0.04363397042163486	0.06181407586121179	0.05871558504749319	0.0749236254643556	0.05468713875265907	0.08546050677707162	0.09344587337276267	0.09391502973280841	0.1926359261414755	0.18059129151040332	0.19076496481460836	0.17943010779177404	0.18351768795985135	0.18648116709599916	0.16403878800999971	0.17855672718051252	0.17386109101990643	0.1809692578243579	0.18638724347298707	0.17292036274476474	0.19515279947485964	0.1886766546514037	0.18191830101998308	0.19199220066790645	0.1874291507264798	0.15996352570700223	0.16693829832415874	0.18666830117652455	0.1399408030539281	0.19258513632309238
EHI01982	0.05895242376464516	0.03044583537152068	0.04577241323889958	0.04931700491438984	0.08924918431107576	0.0	0.060579345893875924	0.059655931783630045	0.06840844924233314	0.027838585519503578	0.05691108986031246	0.04605197251952753	0.03458462260290063	0.046574017801012224	0.05225959423339277	0.051130023834489724	0.10172492808382716	0.06800421154047598	0.043871749263603266	0.03436294052557276	0.04016995579104499	0.07369310839534471	0.061969046393676064	0.03499792135402591	0.04606945804729967	0.06135659235594937	0.0966367549558299	0.05888837066452213	0.06851057971169361	0.03940955918295774	0.06037972378160106	0.04004005289380752	0.03727760731597818	0.03309978976071515	0.09745999223177582	0.08509826814062915	0.09681951769590669	0.08571463202484753	0.08717466919601147	0.086530037134387	0.07377312327320418	0.08206725377789581	0.08213178391720255	0.08663591439172236	0.0959252562593137	0.08259185413298631	0.09978092689651707	0.08863919267690312	0.08950557333553766	0.09490247516812211	0.09137076681398737	0.07049303841100707	0.07670017496462533	0.09270542576375596	0.05836240669058623	0.09502173500981703
EHI01985	0.04163635776556962	0.04876285921022061	0.04112815692915561	0.03977437313760901	0.05339485570891922	0.060579345893875924	0.0	0.03821959664479602	0.04162929542807858	0.05655019326643074	0.04641661869569258	0.10069193045420799	0.06439570110748616	0.0875003144440033	0.06346264558598846	0.0954817395685521	0.06480408081312306	0.04348834071943786	0.045825627815448744	0.06446370428867554	0.05041935624208693	0.04700187437792136	0.04320885774709338	0.07945395740840533	0.04411154374749071	0.04504539017361142	0.05707012095477615	0.04574329775619379	0.04717660398611312	0.04859889125792116	0.043956982209239936	0.05709177786135222	0.06465136445037989	0.06506893581892459	0.15259236509648932	0.13858311749241636	0.1495799484610949	0.1377326788402672	0.14358626394809937	0.1418619168391464	0.13044486014247936	0.13728298672493855	0.1370977017366929	0.14433785718328007	0.14888728586222177	0.1388250348499025	0.1532042044916181	0.14108614713787548	0.14368956375715214	0.14978702295281165	0.14631457129628012	0.1254721526871655	0.13245919194246236	0.14631423337908478	0.11042655844759452	0.14731258671577863
EHI01989	0.03933566142262479	0.04623754291201465	0.040401428024034125	0.038967524410124965	0.0489674717212768	0.059655931783630045	0.03821959664479602	0.0	0.03963055768688806	0.05545837247673113	0.04357349154555923	0.09714427417446792	0.06331505118552883	0.08622255336146645	0.06181184051517874	0.09451053301325651	0.0608395548478976	0.040287758358205195	0.04518306509636549	0.06343718170502455	0.04896286163560781	0.044156085070690465	0.04181272859967766	0.07699535197611129	0.04301970136702182	0.04320186308350793	0.055305850861316896	0.04202954686917826	0.04453469201308968	0.04780595835088863	0.040707656278227256	0.056874296444826555	0.06344380318526088	0.06381839734408634	0.1638115110930769	0.15186977965494886	0.16300435791771417	0.1495011707868874	0.15629329460553865	0.15291457447588985	0.12847474953684068	0.14737527314503795	0.14362134033449936	0.14937519537075417	0.16761427486127622	0.1368844107760282	0.16750517743259918	0.15406481511030312	0.14903150978207724	0.16096809595024386	0.15658576036054828	0.12313977252192154	0.1313609968230569	0.15452668289104388	0.10655430059985949	0.16264545796316476
EHI01992	0.0422725759767012	0.05377760616880323	0.046611735712021596	0.043289899301643064	0.049508765988526604	0.06840844924233314	0.04162929542807858	0.03963055768688806	0.0	0.06320008230261476	0.04732854153965116	0.1048301955873796	0.07090851338947601	0.09497999567762927	0.06832683107864523	0.10337193694164348	0.06272349754505402	0.04214144933482156	0.05101219252457234	0.07215769745822764	0.05563591087289055	0.04546259960870802	0.045740644489312254	0.08563079091201808	0.04848815357674663	0.046517182570804394	0.054689032669711146	0.04744183307346084	0.04740818971590355	0.05347681870617771	0.044443778024007674	0.06306622039954646	0.07105823099372754	0.07305458213512406	0.16425761925504756	0.1562249037881296	0.16846818471431113	0.15556331190414374	0.15810657375488113	0.15467542362492004	0.1357525088758924	0.15098884881317676	0.1496319596176341	0.15447916075486512	0.16476369203392416	0.14594744009213034	0.16825436830745089	0.15848118018026436	0.15630648115717316	0.16439071094373925	0.15924155174368426	0.13111844208386592	0.1399249721626119	0.16004666942176116	0.1156192354995943	0.1619999430168576
EHI01995	0.05456326916241261	0.027656712798392213	0.04203728957979169	0.044204948493629215	0.08503408420128222	0.027838585519503578	0.05655019326643074	0.05545837247673113	0.06320008230261476	0.0	0.05260645102281236	0.04903821804359387	0.034096725732041144	0.04742465631620596	0.04904305132387954	0.05217184132623698	0.09896258819048287	0.06306565077716142	0.040549077479916096	0.03311627198956646	0.03646789791975069	0.0702817890600883	0.05685699473136441	0.03625851640209954	0.04213732078773069	0.0558781717566883	0.09221025894498591	0.054498842937559355	0.06455187430179532	0.036486399175120865	0.05671116286312661	0.03866907832865474	0.035885731761101325	0.032660174437153855	0.10387455895350028	0.09195349835514621	0.10344121846996734	0.09072770145691889	0.0946219770936999	0.09414287967683033	0.07833625623538876	0.08754661459503299	0.0879407996533208	0.09290711632735638	0.10283391965283772	0.08683959761446358	0.10537932311712828	0.0955115030411452	0.0960717384071047	0.1008247492879083	0.0987600933382693	0.0742778074123489	0.08188952701267027	0.09889576170146863	0.061453420331830544	0.10198657867142924
